iter	RMSE
0	38855.09777
1	33857.84637
2	29084.95949
3	27185.98197
4	25935.27635
5	25332.78197
6	24991.51239
7	24683.42714
8	24500.24847
9	24375.30744
10	24255.80943
11	24173.79365
12	24083.40593
13	23960.52645
14	23906.84237
15	23886.51005
16	23868.13465
17	23791.23242
18	23747.1589
19	23710.76443
20	23710.70144
21	23625.00301
22	23605.17266
23	23594.34569
24	23579.88207
25	23521.25099
26	23520.95656
27	23495.59239
28	23489.34014
29	23462.53841
30	23454.71464
31	23388.59983
32	23343.52026
33	23254.46556
34	23254.19792
35	23214.127
36	23081.65232
37	23016.45469
38	23003.48324
39	22951.32393
40	22915.258
41	22841.40759
42	22778.87527
43	22736.50868
44	22735.21892
45	22731.88876
46	22731.14514
47	22687.01463
48	22668.56222
49	22667.43866
50	22656.01556
51	22633.57366
52	22612.20019
53	22595.04957
54	22591.69195
55	22538.6627
56	22467.9863
57	22413.72279
58	22401.04133
59	22376.05913
60	22363.04289
61	22328.5646
62	22298.50908
63	22258.45601
64	22245.17057
65	22210.10453
66	22209.22629
67	22142.65261
68	22131.52802
69	22116.74481
70	22104.92051
71	22062.129
72	21999.33891
73	21998.52221
74	21995.34025
75	21972.7804
76	21900.1358
77	21859.65671
78	21845.20278
79	21799.74119
80	21761.28154
81	21742.50012
82	21703.05376
83	21682.59086
84	21657.47424
85	21593.13608
86	21538.09315
87	21490.60896
88	21450.0427
89	21439.7159
90	21397.27299
91	21366.4326
92	21366.06812
93	21353.61619
94	21345.24925
95	21298.19475
96	21280.80252
97	21279.41017
98	21248.59138
99	21210.13813
