iter	Passed	Remaining
0	220	21782
1	248	12172
2	280	9072
3	309	7429
4	344	6538
5	380	5965
6	425	5653
7	475	5469
8	517	5232
9	609	5484
10	649	5254
11	682	5003
12	713	4775
13	741	4552
14	773	4384
15	804	4222
16	838	4092
17	867	3951
18	898	3828
19	926	3705
20	942	3544
21	971	3443
22	1002	3356
23	1037	3285
24	1069	3209
25	1109	3158
26	1126	3045
27	1161	2986
28	1192	2918
29	1229	2868
30	1261	2808
31	1294	2750
32	1324	2689
33	1355	2631
34	1375	2554
35	1410	2507
36	1440	2453
37	1473	2404
38	1504	2353
39	1536	2304
40	1568	2256
41	1599	2209
42	1636	2169
43	1668	2123
44	1692	2069
45	1724	2024
46	1757	1981
47	1789	1938
48	1822	1896
49	1851	1851
50	1879	1806
51	1913	1766
52	1940	1720
53	1972	1680
54	2016	1650
55	2053	1613
56	2087	1574
57	2117	1533
58	2147	1492
59	2185	1456
60	2213	1415
61	2244	1375
62	2273	1335
63	2302	1295
64	2330	1255
65	2362	1216
66	2399	1181
67	2436	1146
68	2465	1107
69	2495	1069
70	2526	1031
71	2558	994
72	2591	958
73	2621	921
74	2652	884
75	2684	847
76	2714	810
77	2743	773
78	2776	737
79	2806	701
80	2836	665
81	2866	629
82	2895	593
83	2928	557
84	2963	522
85	2992	487
86	3021	451
87	3051	416
88	3079	380
89	3108	345
90	3136	310
91	3166	275
92	3204	241
93	3239	206
94	3275	172
95	3305	137
96	3332	103
97	3361	68
98	3402	34
99	3433	0
