iter	RMSE
0	1.571719625
1	1.547477916
2	1.524904979
3	1.503542569
4	1.48402257
5	1.465043284
6	1.44766987
7	1.430828094
8	1.416890461
9	1.403869274
10	1.390359029
11	1.378869495
12	1.366438235
13	1.356089618
14	1.345616695
15	1.336298532
16	1.327339238
17	1.318940823
18	1.310813632
19	1.303545647
20	1.298300551
21	1.291604906
22	1.285355489
23	1.279340813
24	1.273122459
25	1.267878406
26	1.262672514
27	1.257591093
28	1.252609288
29	1.248209627
30	1.244282152
31	1.23989168
32	1.236220529
33	1.232262514
34	1.229134883
35	1.225255875
36	1.222255887
37	1.219542169
38	1.216474951
39	1.213398249
40	1.210526405
41	1.208335621
42	1.206196545
43	1.204080603
44	1.201768304
45	1.199555074
46	1.197055981
47	1.194901794
48	1.192922333
49	1.190908806
50	1.18919019
51	1.187492376
52	1.185625538
53	1.183996699
54	1.182431037
55	1.180852771
56	1.179049884
57	1.17691869
58	1.175208874
59	1.17381756
60	1.172596009
61	1.170812811
62	1.1690612
63	1.168070727
64	1.16700319
65	1.166113311
66	1.164284676
67	1.163449913
68	1.162287287
69	1.161207086
70	1.160819027
71	1.159857335
72	1.158803006
73	1.158014402
74	1.156576956
75	1.155539808
76	1.15456857
77	1.153483877
78	1.15251656
79	1.151653056
80	1.151115663
81	1.150656427
82	1.150472946
83	1.150333942
84	1.149561082
85	1.148931358
86	1.148138731
87	1.147921825
88	1.146329522
89	1.146160167
90	1.145970513
91	1.144993448
92	1.14407553
93	1.14355076
94	1.143116352
95	1.142251115
96	1.141575904
97	1.141013164
98	1.140772399
99	1.140267121
100	1.140142347
101	1.139888283
102	1.139121685
103	1.138955668
104	1.138458812
105	1.137811
106	1.13771736
107	1.137284063
108	1.136955527
109	1.135767969
110	1.13527189
111	1.134749525
112	1.134074683
113	1.133645877
114	1.133375303
115	1.133050569
116	1.13291863
117	1.132181609
118	1.131587912
119	1.131494042
120	1.130781319
121	1.13065901
122	1.130059787
123	1.129653613
124	1.129291604
125	1.129083275
126	1.128569581
127	1.128075811
128	1.127635255
129	1.126917953
130	1.126838386
131	1.126722527
132	1.126070995
133	1.12602988
134	1.12589797
135	1.125318649
136	1.125242432
137	1.125193214
138	1.12492411
139	1.12446466
140	1.123557243
141	1.123379448
142	1.122981225
143	1.122965564
144	1.122725078
145	1.122690136
146	1.122627763
147	1.122052768
148	1.121694102
149	1.121647221
150	1.121292418
151	1.121209475
152	1.120977617
153	1.120961812
154	1.120394958
155	1.119721776
156	1.119703779
157	1.119667164
158	1.119660669
159	1.119282503
160	1.119171528
161	1.118951138
162	1.11854444
163	1.118470234
164	1.117917697
165	1.117736821
166	1.117237991
167	1.117078201
168	1.116956084
169	1.116744621
170	1.116733956
171	1.11642776
172	1.116360083
173	1.116352423
174	1.116339806
175	1.116326976
176	1.116233374
177	1.11621887
178	1.116180818
179	1.116149667
180	1.116142874
181	1.116125838
182	1.11612004
183	1.11554308
184	1.115526679
185	1.115286767
186	1.115274984
187	1.115269387
188	1.114229226
189	1.114215074
190	1.114199633
191	1.114192244
192	1.114181922
193	1.11417219
194	1.114166024
195	1.114152061
196	1.114145516
197	1.114136093
198	1.114125141
199	1.114041042
200	1.114035812
201	1.114030621
202	1.114018882
203	1.114013194
204	1.114002748
205	1.113997544
206	1.113992539
207	1.113987571
208	1.113977452
209	1.113972554
210	1.113966686
211	1.113952189
212	1.113946918
213	1.113931596
214	1.113926856
215	1.113914309
216	1.113909636
217	1.113904654
218	1.113900046
219	1.113895471
220	1.113885861
221	1.113881336
222	1.113876842
223	1.113851668
224	1.113847237
225	1.113835572
226	1.113820282
227	1.11379954
228	1.113784942
229	1.113769982
230	1.11376086
231	1.113747478
232	1.113732463
233	1.11372161
234	1.113713815
235	1.113692453
236	1.113677772
237	1.113443293
238	1.113427132
239	1.113423091
240	1.113407868
241	1.113397524
242	1.113385392
243	1.113367984
244	1.113353158
245	1.113339856
246	1.113328222
247	1.113306788
248	1.113298457
249	1.11328575
250	1.113273147
251	1.113258527
252	1.113245031
253	1.113236935
254	1.113226793
255	1.113216425
256	1.113203611
257	1.113190386
258	1.113180265
259	1.113167063
260	1.113154539
261	1.11314392
262	1.113135219
263	1.113125451
264	1.113115544
265	1.113101153
266	1.112240784
267	1.112224926
268	1.112215037
269	1.112206257
270	1.112192325
271	1.112184431
272	1.112172367
273	1.111656006
274	1.11164508
275	1.111628875
276	1.111617655
277	1.111592896
278	1.11157908
279	1.111570103
280	1.111557783
281	1.111542724
282	1.111529641
283	1.111522358
284	1.111507173
285	1.11149791
286	1.111481714
287	1.111470701
288	1.111456894
289	1.111449063
290	1.111439947
291	1.111432413
292	1.111424283
293	1.111416008
294	1.111403123
295	1.111394963
296	1.111382358
297	1.111373346
298	1.111361953
299	1.111350798
300	1.111343324
301	1.111333246
302	1.110523364
303	1.110511191
304	1.110499641
305	1.1103662
306	1.110358508
307	1.109920277
308	1.109910696
309	1.109896599
310	1.109890184
311	1.109878243
312	1.109867405
313	1.109854733
314	1.109843097
315	1.109366207
316	1.109358641
317	1.109236995
318	1.109226387
319	1.109213174
320	1.109200438
321	1.108700719
322	1.10807329
323	1.108067032
324	1.108055847
325	1.108043156
326	1.107934118
327	1.107925973
328	1.107918664
329	1.10791175
330	1.10790511
331	1.107893988
332	1.107468526
333	1.10745814
334	1.107353641
335	1.106892274
336	1.106881747
337	1.106091476
338	1.106079095
339	1.10550187
340	1.105224856
341	1.105217421
342	1.105210243
343	1.105201842
344	1.105194837
345	1.105077833
346	1.104491411
347	1.103871105
348	1.103864045
349	1.103764333
350	1.103753543
351	1.103656278
352	1.103645395
353	1.103541786
354	1.103534438
355	1.103436688
356	1.103427205
357	1.103414432
358	1.103385029
359	1.103350378
360	1.103249986
361	1.103244426
362	1.103235043
363	1.103125176
364	1.103120437
365	1.103033289
366	1.1026141
367	1.102572643
368	1.102535374
369	1.10243843
370	1.102432938
371	1.10242231
372	1.101822503
373	1.101735268
374	1.101646088
375	1.101635583
376	1.101625615
377	1.101619392
378	1.101527784
379	1.101457679
380	1.100898569
381	1.100583991
382	1.100192857
383	1.100180996
384	1.100169215
385	1.100084474
386	1.100000091
387	1.099991242
388	1.099982313
389	1.099306988
390	1.099300814
391	1.099296338
392	1.09883695
393	1.09874347
394	1.098219985
395	1.098215255
396	1.098127653
397	1.097733534
398	1.097184133
399	1.096684797
400	1.096087982
401	1.096004214
402	1.095994391
403	1.09515825
404	1.095074206
405	1.094994464
406	1.094917467
407	1.094527885
408	1.094522833
409	1.094222176
410	1.093788449
411	1.093276014
412	1.09254398
413	1.092465406
414	1.092296783
415	1.092259827
416	1.092185287
417	1.091739952
418	1.091735771
419	1.091660395
420	1.091654213
421	1.091630078
422	1.091626231
423	1.09146787
424	1.091078763
425	1.091071043
426	1.090748943
427	1.090366045
428	1.089912718
429	1.089840429
430	1.089827912
431	1.089562494
432	1.08955775
433	1.089470744
434	1.089463028
435	1.089456025
436	1.088958194
437	1.088542624
438	1.088534882
439	1.088526937
440	1.088248784
441	1.087863791
442	1.087850456
443	1.087780152
444	1.087709618
445	1.087700942
446	1.087288733
447	1.087258435
448	1.08725321
449	1.08724757
450	1.087179
451	1.087170581
452	1.087163607
453	1.087159285
454	1.087152952
455	1.087147577
456	1.087140738
457	1.087097112
458	1.087079994
459	1.087011174
460	1.08700024
461	1.086996781
462	1.086986298
463	1.086983067
464	1.086962212
465	1.08689515
466	1.086890279
467	1.086886243
468	1.08687449
