iter	Passed	Remaining
0	57	57278
1	93	46890
2	128	42859
3	184	45995
4	253	50448
5	325	53926
6	399	56603
7	469	58187
8	534	58866
9	591	58513
10	671	60350
11	754	62117
12	828	62865
13	885	62350
14	973	63894
15	1044	64210
16	1114	64420
17	1185	64669
18	1266	65368
19	1344	65863
20	1374	64080
21	1446	64303
22	1518	64494
23	1592	64772
24	1672	65214
25	1744	65350
26	1814	65393
27	1886	65497
28	1955	65462
29	2031	65693
30	2100	65669
31	2175	65810
32	2248	65886
33	2320	65926
34	2386	65806
35	2458	65834
36	2529	65843
37	2599	65811
38	2670	65809
39	2738	65731
40	2813	65807
41	2882	65751
42	2961	65907
43	3058	66459
44	3125	66335
45	3195	66274
46	3265	66218
47	3337	66188
48	3408	66144
49	3483	66181
50	3558	66220
51	3628	66153
52	3704	66198
53	3776	66150
54	3853	66204
55	3925	66167
56	3997	66137
57	4072	66150
58	4144	66093
59	4215	66046
60	4282	65917
61	4355	65893
62	4425	65819
63	4500	65818
64	4575	65821
65	4658	65919
66	4734	65923
67	4804	65856
68	4871	65734
69	4947	65725
70	4966	64989
71	5042	64987
72	5115	64965
73	5186	64895
74	5258	64855
75	5330	64811
76	5403	64771
77	5475	64717
78	5551	64725
79	5628	64723
80	5663	64256
81	5731	64168
82	5755	63592
83	5775	62978
84	5841	62879
85	5913	62853
86	5985	62818
87	6011	62302
88	6101	62458
89	6177	62456
90	6198	61919
91	6273	61911
92	6345	61881
93	6426	61941
94	6502	61940
95	6582	61984
96	6659	61992
97	6733	61978
98	6795	61848
99	6868	61814
100	6905	61466
101	6986	61507
102	7064	61527
103	7094	61120
104	7171	61131
105	7244	61095
106	7265	60633
107	7343	60650
108	7422	60670
109	7497	60663
110	7570	60632
111	7639	60572
112	7709	60515
113	7786	60516
114	7839	60333
115	7909	60276
116	7986	60271
117	8063	60270
118	8140	60270
119	8180	59990
120	8257	59987
121	8339	60020
122	8430	60107
123	8506	60096
124	8579	60059
125	8657	60053
126	8735	60045
127	8814	60049
128	8902	60109
129	8997	60215
130	9045	60000
131	9083	59733
132	9165	59748
133	9187	59373
134	9253	59293
135	9325	59245
136	9367	59009
137	9391	58662
138	9460	58598
139	9534	58568
140	9606	58521
141	9672	58445
142	9742	58387
143	9766	58057
144	9838	58012
145	9874	57759
146	9904	57470
147	9977	57436
148	10049	57396
149	10070	57064
150	10145	57043
151	10192	56864
152	10262	56813
153	10290	56529
154	10364	56502
155	10439	56478
156	10457	56149
157	10496	55934
158	10514	55613
159	10592	55610
160	10664	55573
161	10742	55570
162	10814	55533
163	10894	55534
164	10971	55522
165	11046	55497
166	11116	55447
167	11185	55396
168	11256	55348
169	11323	55284
170	11356	55054
171	11426	55004
172	11493	54944
173	11511	54648
174	11541	54410
175	11559	54117
176	11595	53914
177	11608	53607
178	11640	53389
179	11660	53121
180	11676	52834
181	11703	52600
182	11719	52323
183	11792	52298
184	11830	52117
185	11901	52084
186	11922	51835
187	11938	51565
188	12012	51547
189	12034	51303
190	12045	51020
191	12077	50824
192	12111	50641
193	12143	50450
194	12169	50240
195	12197	50035
196	12216	49797
197	12256	49643
198	12276	49415
199	12345	49381
200	12356	49120
201	12370	48867
202	12404	48699
203	12418	48454
204	12461	48324
205	12480	48105
206	12490	47848
207	12500	47596
208	12527	47413
209	12539	47170
210	12553	46942
211	12606	46859
212	12625	46648
213	12657	46489
214	12669	46256
215	12684	46041
216	12695	45809
217	12716	45616
218	12727	45388
219	12738	45162
220	12778	45043
221	12788	44818
222	12799	44596
223	12844	44495
224	12854	44274
225	12898	44174
226	12968	44159
227	13040	44153
228	13109	44137
229	13177	44116
230	13246	44097
231	13270	43928
232	13316	43836
233	13377	43790
234	13407	43644
235	13451	43546
236	13485	43415
237	13557	43406
238	13602	43312
239	13614	43111
240	13686	43105
241	13723	42985
242	13763	42875
243	13833	42860
244	13901	42840
245	13969	42816
246	14039	42801
247	14106	42775
248	14134	42630
249	14170	42510
250	14248	42518
251	14322	42512
252	14394	42500
253	14442	42417
254	14484	42318
255	14516	42189
256	14582	42158
257	14639	42103
258	14668	41967
259	14741	41957
260	14810	41935
261	14883	41923
262	14952	41900
263	14985	41778
264	15019	41656
265	15086	41628
266	15150	41593
267	15228	41594
268	15311	41608
269	15341	41478
270	15415	41468
271	15446	41340
272	15508	41299
273	15581	41284
274	15611	41157
275	15639	41026
276	15713	41013
277	15783	40991
278	15859	40984
279	15890	40860
280	15962	40842
281	16043	40848
282	16114	40828
283	16147	40709
284	16176	40582
285	16245	40556
286	16291	40472
287	16328	40367
288	16398	40342
289	16439	40249
290	16481	40156
291	16526	40071
292	16552	39941
293	16628	39930
294	16685	39874
295	16717	39760
296	16780	39718
297	16852	39698
298	16920	39668
299	16988	39639
300	17065	39630
301	17101	39524
302	17179	39519
303	17231	39450
304	17308	39439
305	17379	39415
306	17408	39295
307	17488	39292
308	17528	39198
309	17592	39157
310	17655	39114
311	17726	39089
312	17797	39063
313	17828	38951
314	17901	38929
315	17974	38907
316	18009	38802
317	18085	38787
318	18157	38761
319	18219	38716
320	18291	38691
321	18370	38679
322	18444	38658
323	18518	38636
324	18575	38579
325	18639	38535
326	18711	38510
327	18780	38476
328	18825	38395
329	18859	38289
330	18893	38187
331	18969	38167
332	19052	38162
333	19099	38084
334	19176	38066
335	19248	38039
336	19314	37998
337	19389	37975
338	19443	37912
339	19508	37868
340	19578	37835
341	19617	37744
342	19650	37639
343	19688	37545
344	19717	37434
345	19785	37398
346	19862	37378
347	19949	37376
348	20003	37313
349	20086	37302
350	20139	37238
351	20206	37198
352	20278	37168
353	20350	37136
354	20418	37097
355	20490	37067
356	20561	37034
357	20595	36934
358	20653	36877
359	20720	36835
360	20795	36809
361	20849	36746
362	20901	36678
363	20974	36648
364	21013	36557
365	21085	36525
366	21163	36503
367	21213	36432
368	21294	36414
369	21393	36426
370	21444	36356
371	21525	36338
372	21603	36314
373	21678	36284
374	21749	36249
375	21788	36159
376	21824	36065
377	21859	35970
378	21934	35940
379	22006	35904
380	22077	35867
381	22145	35826
382	22220	35797
383	22291	35758
384	22358	35715
385	22433	35685
386	22507	35650
387	22538	35550
388	22613	35519
389	22689	35489
390	22732	35407
391	22772	35321
392	22852	35296
393	22923	35258
394	22999	35227
395	23068	35184
396	23141	35148
397	23211	35109
398	23290	35082
399	23361	35041
400	23435	35007
401	23503	34963
402	23573	34920
403	23643	34879
404	23714	34839
405	23787	34801
406	23857	34760
407	23931	34724
408	23987	34661
409	24063	34628
410	24136	34589
411	24206	34547
412	24281	34511
413	24352	34470
414	24437	34448
415	24478	34364
416	24550	34322
417	24623	34284
418	24662	34197
419	24732	34154
420	24784	34086
