,device,first_payment_amount,age,city,number_of_cards,payments_initiated,payments_failed,payments_completed,payments_completed_amount_first_7days,reward_purchase_count_first_7days,coins_redeemed_first_7days,is_referral,visits_feature_1,visits_feature_2,given_permission_1,given_permission_2,user_id,is_churned,segment
52,asus,13,20,NCR,1,1,0,1,13,1,3,FALSE,7,2,1,1,115681,0,check
59,apple,17,20,Jamshedpur,1,4,3,1,17,1,17,FALSE,1,1,1,1,21040,0,check
78,oppo,32,20,Nanded,0,4,1,1,32,2,20,FALSE,1,1,1,1,464377,0,check
79,apple,32,20,Mumbai,4,2,0,2,47,3,23,FALSE,1,2,1,1,286953,0,check
82,oneplus,37,20,Surat,6,3,1,2,39,2,20,TRUE,1,1,1,1,218252,0,check
259,realme,17,21,Bageshwar ,1,7,2,2,122,6,90,TRUE,2,1,1,1,496224,0,check
298,samsung,125,21,Ludhiana,1,3,1,1,0,4,127,FALSE,2,2,1,1,227727,0,check
304,oneplus,481,21,Jammu,1,5,0,1,481,4,203,FALSE,3,1,1,1,363681,0,check
526,samsung,3,22,Secunderabad,1,3,0,1,3,1,3,FALSE,2,1,1,1,25565,0,check
570,xiaomi,4,22,Darbhanga,0,4,1,2,4,1,3,TRUE,4,1,1,1,97891,0,check
599,realme,6,22,Jabalpur,0,1,0,1,6,1,3,FALSE,1,1,1,1,29188,0,check
603,oneplus,6,22,Jaipur,0,1,0,1,6,1,3,FALSE,1,1,1,1,145912,0,check
631,oneplus,8,22,NCR,2,2,0,2,21,2,7,FALSE,3,1,1,1,4433,0,check
674,apple,11,22,Vadodara,2,4,0,1,11,1,3,FALSE,1,3,1,1,400980,0,check
687,huawei,13,22,Bangalore,1,3,0,1,13,1,3,FALSE,2,1,1,1,35221,0,check
692,apple,13,22,Chandrapur,1,3,0,1,13,1,3,FALSE,1,1,1,1,259008,0,check
716,xiaomi,16,22,Bhopal,1,3,0,1,16,1,3,FALSE,4,2,1,1,292021,0,check
718,xiaomi,16,22,NCR,2,3,1,1,16,1,3,FALSE,1,1,1,1,3445,0,check
757,oppo,20,22,Jaipur,1,1,0,1,20,2,20,FALSE,1,1,1,1,79702,0,check
766,samsung,20,22,Hyderabad,1,3,1,2,53,4,40,FALSE,1,1,1,1,367862,0,check
784,oneplus,24,22,Bangalore,1,5,0,2,45,2,20,FALSE,3,3,0,1,16591,0,check
817,oneplus,31,22,Vadodara,1,1,0,1,31,2,20,FALSE,2,1,1,1,336565,0,check
819,apple,32,22,Secunderabad,0,1,0,1,32,2,20,FALSE,1,1,1,1,51894,0,check
820,apple,32,22,NCR,1,1,0,1,32,2,20,FALSE,1,2,1,1,44345,0,check
850,xiaomi,39,22,Sri Ganganagar,1,2,1,1,39,2,20,FALSE,1,1,1,1,57311,0,check
877,samsung,46,22,NCR,1,1,0,1,46,2,20,FALSE,2,1,1,1,33544,0,check
884,apple,50,22,Mumbai,1,2,0,2,55,3,23,FALSE,1,1,0,1,349489,0,check
916,oneplus,64,22,NCR,1,1,0,1,64,1,67,FALSE,1,2,1,1,299744,0,check
921,oneplus,67,22,Rohtak,1,2,0,1,67,1,3,FALSE,2,1,1,1,10027,0,check
933,huawei,77,22,Pune,0,2,0,1,77,1,3,FALSE,4,2,1,1,372790,0,check
976,samsung,203,22,Ahmedabad,2,1,0,1,203,1,3,FALSE,1,1,1,1,37503,0,check
1485,oneplus,2,23,Haldwani,2,3,1,2,50,2,20,TRUE,2,1,1,0,406383,0,check
1549,asus,2,23,Lucknow,1,4,0,2,98,3,70,TRUE,1,1,1,1,7971,0,check
1609,samsung,3,23,Bangalore,1,4,0,2,67,2,7,TRUE,2,2,1,1,162235,0,check
1722,xiaomi,3,23,Visakhapatnam,0,1,0,1,3,1,3,FALSE,1,1,1,1,340955,0,check
1746,oneplus,4,23,Hyderabad,1,3,1,1,4,1,3,FALSE,1,1,1,1,417183,0,check
1776,realme,5,23,NCR,1,2,0,2,0,2,7,FALSE,1,1,0,1,283734,0,check
1789,oppo,5,23,NCR,1,5,2,1,5,1,3,FALSE,3,1,1,1,38531,0,check
1797,oneplus,5,23,Hyderabad,0,5,3,2,17,1,3,TRUE,1,1,1,1,387179,0,check
1844,xiaomi,6,23,Bangalore,0,1,0,1,0,1,3,FALSE,5,1,1,1,45374,0,check
1859,samsung,7,23,Durgapur,1,3,0,1,7,1,3,FALSE,1,3,1,1,132739,0,check
1891,realme,7,23,Junagadh,0,2,1,1,7,1,3,FALSE,3,2,1,1,46505,0,check
1942,xiaomi,8,23,NCR,1,2,0,1,8,1,3,FALSE,2,1,1,1,1759,0,check
1948,xiaomi,8,23,Tiruvallur,0,1,0,1,8,1,3,FALSE,1,1,1,1,206650,0,check
2023,oneplus,10,23,Jaipur,1,3,0,2,20,2,3,TRUE,1,1,1,1,408426,0,check
2038,realme,10,23,Hyderabad,2,3,0,2,12,1,3,FALSE,2,1,1,1,45952,0,check
2047,samsung,11,23,Hyderabad,0,4,1,2,25,1,3,FALSE,1,2,1,1,13463,0,check
2058,oneplus,11,23,Pune,0,1,0,1,11,1,3,FALSE,1,1,1,1,428983,0,check
2063,xiaomi,11,23,Mumbai,1,2,0,1,0,1,3,FALSE,1,1,1,1,252501,0,check
2115,oneplus,13,23,South Goa,1,2,0,2,21,1,3,FALSE,2,1,0,1,236504,0,check
2153,vivo,14,23,Ahmedabad,2,4,0,1,14,1,3,FALSE,1,1,1,1,393635,0,check
2180,oneplus,16,23,NCR,1,1,0,1,16,1,3,FALSE,2,2,1,1,39098,0,check
2192,oneplus,16,23,Pune,0,1,0,1,16,1,3,FALSE,1,1,1,1,321013,0,check
2219,hmd global,17,23,Dehradun,1,1,0,1,17,1,3,FALSE,1,1,1,1,479669,0,check
2246,apple,17,23,Jalandhar,1,1,0,1,17,1,3,FALSE,1,1,1,1,219350,0,check
2263,oneplus,18,23,Bangalore,1,1,0,1,18,2,20,FALSE,1,1,0,1,15744,0,check
2276,xiaomi,18,23,0,1,1,0,1,18,2,20,FALSE,2,1,1,1,23305,0,check
2289,oneplus,19,23,NCR,1,2,0,1,19,2,20,FALSE,1,1,1,1,25055,0,check
2294,samsung,19,23,Pune,3,1,0,1,19,2,20,FALSE,4,1,1,1,102910,0,check
2343,xiaomi,22,23,Kochi,1,3,0,2,22,2,20,FALSE,5,1,1,1,823,0,check
2355,hmd global,22,23,NCR,2,4,0,2,32,2,20,FALSE,1,1,1,1,111465,0,check
2360,oneplus,22,23,Mumbai,1,2,0,2,23,2,20,FALSE,2,1,1,1,479713,0,check
2385,oneplus,23,23,Bangalore,1,1,0,1,23,2,20,FALSE,2,1,1,1,344260,0,check
2434,vivo,28,23,Lucknow,2,1,0,1,28,2,20,FALSE,1,1,1,1,138712,0,check
2529,xiaomi,33,23,Madanapalle,1,2,0,2,80,3,23,FALSE,1,1,1,1,154118,0,check
2537,oneplus,33,23,Bangalore,1,4,1,2,57,3,23,FALSE,2,1,1,1,7722,0,check
2540,xiaomi,34,23,Muzaffarnagar,1,3,0,1,34,1,3,FALSE,1,1,1,1,96766,0,check
2580,oneplus,40,23,Bangalore,0,2,0,2,89,4,40,TRUE,5,1,1,1,20238,0,check
2585,oppo,40,23,Coimbatore,1,2,0,1,40,2,20,FALSE,6,2,1,1,29888,0,check
2742,xiaomi,63,23,Bangalore,1,1,0,1,63,2,20,FALSE,3,1,1,1,328730,0,check
2763,oneplus,67,23,NCR,1,1,0,1,67,2,53,FALSE,1,1,1,1,483345,0,check
2766,apple,67,23,Bangalore,1,4,2,1,67,2,53,FALSE,1,1,1,1,27322,0,check
2782,xiaomi,71,23,Hyderabad,1,4,0,1,71,3,70,FALSE,1,1,1,1,290581,0,check
2784,samsung,71,23,Bhubaneshwar,3,2,0,2,81,4,73,FALSE,1,1,1,1,373434,0,check
2795,xiaomi,74,23,Ahmedabad,1,1,0,1,74,3,70,FALSE,1,1,1,1,33678,0,check
2833,oneplus,95,23,NCR,2,3,0,1,95,3,70,FALSE,1,3,1,1,244155,0,check
2834,apple,95,23,Mumbai,0,1,0,1,95,1,17,FALSE,1,1,1,1,33972,0,check
2856,xiaomi,116,23,Pune,2,3,0,2,126,6,123,FALSE,1,1,1,1,168076,0,check
2860,asus,118,23,0,0,3,0,1,118,1,67,FALSE,1,2,1,1,33061,0,check
2883,oneplus,152,23,Kanchipuram,0,2,0,1,152,2,53,FALSE,1,1,1,1,286606,0,check
2898,xiaomi,186,23,NCR,2,1,0,1,186,2,20,FALSE,1,1,1,1,6297,0,check
3988,hmd global,2,24,Hyderabad,0,2,0,2,80,3,70,FALSE,4,1,1,0,49783,0,check
4211,apple,3,24,Mumbai,1,2,0,1,3,1,3,FALSE,3,1,1,1,304765,0,check
4212,xiaomi,3,24,Bangalore,1,6,0,2,7,2,7,FALSE,1,2,1,0,9478,0,check
4219,xiaomi,3,24,NCR,0,2,0,1,3,1,3,FALSE,1,2,1,1,8553,0,check
4325,samsung,3,24,Bangalore,0,1,0,1,3,1,3,FALSE,1,1,1,1,83622,0,check
4403,asus,4,24,Chennai,2,2,1,1,4,1,3,FALSE,1,1,0,1,25023,0,check
4442,oppo,5,24,Bangalore,2,1,0,1,5,1,3,FALSE,2,1,1,1,366584,0,check
4450,oneplus,5,24,Hyderabad,2,2,0,2,9,2,7,FALSE,3,1,1,1,230655,0,check
4559,oneplus,6,24,Rupnagar,1,2,0,1,6,1,3,FALSE,2,2,1,1,234578,0,check
4608,xiaomi,7,24,Mumbai,0,3,0,2,23,2,20,FALSE,1,1,1,0,488800,0,check
4663,hmd global,7,24,NCR,1,2,0,2,7,2,7,FALSE,1,1,1,1,269873,0,check
4676,xiaomi,7,24,0,0,6,0,1,7,1,3,FALSE,1,1,1,1,44502,0,check
4680,samsung,7,24,Bangalore,1,1,0,1,7,1,3,FALSE,4,2,1,1,16668,0,check
4695,oppo,8,24,Hyderabad,0,2,1,1,8,1,3,FALSE,1,1,1,1,42147,0,check
4711,apple,8,24,Surat,1,1,0,1,8,1,3,FALSE,2,1,1,1,121903,0,check
4735,hmd global,8,24,Surat,1,5,1,2,38,4,40,FALSE,3,2,1,1,390679,0,check
4737,oneplus,8,24,Gaya,1,1,0,1,8,1,3,FALSE,2,1,1,0,114767,0,check
4743,xiaomi,8,24,Ahmedabad,0,3,0,1,8,1,3,FALSE,2,1,1,1,83905,0,check
4744,xiaomi,8,24,0,1,4,2,2,11,1,3,TRUE,2,3,0,1,18065,0,check
4760,xiaomi,9,24,NCR,2,2,1,1,9,1,3,FALSE,3,1,1,1,235729,0,check
4785,apple,9,24,Bangalore,1,2,0,1,9,1,3,FALSE,1,1,1,1,195624,0,check
4787,apple,9,24,Saharanpur,0,2,0,1,0,1,3,FALSE,1,1,1,1,472408,0,check
4806,oppo,9,24,Belgaum,1,3,0,2,28,1,3,FALSE,2,3,1,1,48269,0,check
4815,vivo,9,24,NCR,1,3,0,2,9,1,3,FALSE,2,1,1,1,7298,0,check
4827,xiaomi,10,24,Kanchipuram,0,6,2,2,68,3,23,TRUE,1,1,0,1,163354,0,check
4834,oneplus,10,24,NCR,1,2,0,2,85,4,73,FALSE,1,1,1,1,48177,0,check
4839,xiaomi,10,24,0,1,1,0,1,10,1,3,FALSE,1,1,1,0,481705,0,check
4866,xiaomi,10,24,Coimbatore,0,8,0,2,29,2,20,FALSE,1,1,1,1,2164,0,check
4998,xiaomi,12,24,Kolkata,2,2,1,1,12,1,3,FALSE,1,1,1,1,439143,0,check
5076,gionee,14,24,NCR,1,2,0,1,14,1,3,FALSE,1,3,1,1,240794,0,check
5101,oneplus,15,24,Udupi,1,1,0,1,15,1,3,FALSE,1,1,1,1,397770,0,check
5110,oneplus,15,24,Pune,2,8,0,2,74,3,23,TRUE,4,3,1,1,68432,0,check
