date,num_orders,order_status,total_cbv,service
2016-02-03,0,Other,1528800,GO-BOX
2016-02-27,0,Other,2215850,GO-BOX
2016-02-28,0,Other,1262170,GO-BOX
2016-02-29,0,Other,957320,GO-BOX
2016-01-20,10,No Driver Found,15356250,GO-BOX
2016-01-21,10,No Driver Found,5530070,GO-BOX
2016-02-16,10,No Driver Found,13002080,GO-BOX
2016-03-22,10,No Driver Found,10383100,GO-BOX
2016-01-11,20,No Driver Found,12871040,GO-BOX
2016-01-13,20,No Driver Found,15126475,GO-BOX
2016-01-14,20,No Driver Found,9843470,GO-BOX
2016-01-18,20,No Driver Found,11804065,GO-BOX
2016-01-19,20,No Driver Found,8216845,GO-BOX
2016-01-25,20,No Driver Found,16182075,GO-BOX
2016-01-28,20,No Driver Found,15601950,GO-BOX
2016-02-08,20,No Driver Found,17163510,GO-BOX
2016-02-09,20,No Driver Found,12554360,GO-BOX
2016-02-10,20,No Driver Found,8954400,GO-BOX
2016-02-11,20,No Driver Found,11200280,GO-BOX
2016-02-15,20,No Driver Found,19817980,GO-BOX
2016-02-18,20,No Driver Found,19621420,GO-BOX
2016-02-19,20,No Driver Found,8959860,GO-BOX
2016-02-20,20,No Driver Found,11916450,GO-BOX
2016-02-22,20,No Driver Found,15412670,GO-BOX
2016-02-23,20,No Driver Found,11021010,GO-BOX
2016-03-09,20,No Driver Found,22743630,GO-BOX
2016-01-02,30,No Driver Found,18124470,GO-BOX
2016-01-07,30,No Driver Found,19274710,GO-BOX
2016-01-12,30,No Driver Found,20497750,GO-BOX
2016-01-17,30,No Driver Found,24192350,GO-BOX
2016-01-22,30,No Driver Found,22116640,GO-BOX
2016-01-26,30,No Driver Found,24157770,GO-BOX
2016-02-01,30,No Driver Found,17850105,GO-BOX
2016-02-17,30,No Driver Found,16505580,GO-BOX
2016-02-21,30,No Driver Found,22110725,GO-BOX
2016-02-24,30,No Driver Found,177834020,GO-BOX
2016-03-01,30,No Driver Found,17001530,GO-BOX
2016-03-03,30,No Driver Found,13257790,GO-BOX
2016-03-07,30,No Driver Found,16774030,GO-BOX
2016-03-10,30,No Driver Found,21536970,GO-BOX
2016-03-14,30,No Driver Found,24994060,GO-BOX
2016-03-16,30,No Driver Found,17669470,GO-BOX
2016-03-17,30,No Driver Found,26623870,GO-BOX
2016-03-20,30,No Driver Found,25034373,GO-BOX
2016-03-21,30,No Driver Found,32042010,GO-BOX
2016-03-23,30,No Driver Found,21004620,GO-BOX
2016-03-29,30,No Driver Found,21329490,GO-BOX
2016-03-30,30,No Driver Found,20543705,GO-BOX
2016-01-04,40,No Driver Found,27654445,GO-BOX
2016-01-23,40,No Driver Found,30054570,GO-BOX
2016-01-27,40,No Driver Found,32335030,GO-BOX
2016-01-29,40,No Driver Found,25065040,GO-BOX
2016-02-02,40,No Driver Found,19773390,GO-BOX
2016-02-03,40,No Driver Found,35842625,GO-BOX
2016-02-04,40,No Driver Found,24890775,GO-BOX
2016-02-07,40,No Driver Found,29051295,GO-BOX
2016-02-12,40,No Driver Found,29817060,GO-BOX
2016-02-13,40,No Driver Found,26665730,GO-BOX
2016-02-14,40,No Driver Found,29406650,GO-BOX
2016-02-29,40,No Driver Found,20281170,GO-BOX
2016-03-11,40,No Driver Found,22062040,GO-BOX
2016-03-13,40,No Driver Found,31069220,GO-BOX
2016-03-15,40,No Driver Found,26470080,GO-BOX
2016-03-18,40,No Driver Found,28443870,GO-BOX
2016-03-28,40,No Driver Found,45560060,GO-BOX
2016-01-03,50,No Driver Found,37631230,GO-BOX
2016-01-05,50,No Driver Found,40354405,GO-BOX
2016-01-10,50,No Driver Found,46344935,GO-BOX
2016-01-15,50,No Driver Found,41656615,GO-BOX
2016-01-16,50,No Driver Found,35185150,GO-BOX
