UPC_ID,UPC_DESC,L4 ID,L4_DESC,L5_ID,L5_DESC,MANUFACTURER_NAME,BRAND_NAME
112200884,ACE WC GEL CANDEGGINA 700ML X2,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112200965,ACE WC GEL PRO ENZIMI 700ML X2,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112100409,CANDEGG.ACE GENTILE NEWFORM.2L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112100552,CANDEGG.ACE GENTILE 2L X2,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
111100837,CANDEGG.DENSO PIU' ACE 3L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112200882,ACE WC GEL BREZZA MAR 700ML X2,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112101071,CANDEGGINA ACE GEL 500ML,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112100448,CANDEGG.ACE DENSO PIU' FLOR.3L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
111100838,CANDEGG.ACE FRESCO PROFUMO 3L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112200867,ACE WC GEL TALCO/BREZZA 700 ML,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
111100836,CANDEGG.CLASSICA ACE 5L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112200957,ACE WC GEL PRO ENZIMI 700ML,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112200883,ACE WC GEL DISINCROST.700ML X2,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112100544,CANDEGG.ACE GENTILE BOU/MED.2L,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112101607,"ACE LIQ.COLORATI 30LAV.1,650L",121,DETERGENTI X BUCATO,1210,BUCATO LAVATRICE,FATER,ACE-FATER
112101552,ACE LIQ.CLASSICO 30L X2 3.3L,121,DETERGENTI X BUCATO,1210,BUCATO LAVATRICE,FATER,ACE-FATER
112200717,ACE WC GEL DISINCROSTANTE700ML,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112200716,ACE WC GEL CANDEGGINA 700ML,122,DETERGENTI X LA CASA,1223,CURA WC,FATER,ACE-FATER
112100553,CANDEGG.ACE GENT.IG.BOUQ.2LX2,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112101375,CANDEGG.ACE GENTILE SPR.650ML,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112101553,ACE LIQ.COLOR 30L X2 3.3L,121,DETERGENTI X BUCATO,1210,BUCATO LAVATRICE,FATER,ACE-FATER
112101606,"ACE LIQ.CLASSICO 30LAV.1,650L",121,DETERGENTI X BUCATO,1210,BUCATO LAVATRICE,FATER,ACE-FATER
112000094,CANDEGG ACE ARM/FLOR SPR.750ML,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
111100699,"CANDEGG.CLASSICA ACE 2,5L",120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112000095,CANDEGGINA ACE SPRAY 750ML,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112000096,CANDEGG ACE GENTILE SPR.700ML,120,CURA TESSUTI,1202,CANDEGGINA,FATER,ACE-FATER
112101309,ACE POLVERE 82MISURINI 5.33KG,121,DETERGENTI X BUCATO,1210,BUCATO LAVATRICE,PROCTER & GAMBLE,ACE-P&G
111300673,AIR WICK F/MATIC RIC.FRES.250M,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300073,AIR WICK F/MATIC RIC.VAN.250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600018,FRESH MATIC PURE BASE AIR WICK,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300181,AIR WICK SPRAY 240ML,126,DEODORANTI PER AMBIENTE,1261,AZIONE ISTANTANEA,RECKITT BENCKISER,AIR WICK
111300917,AIR WICK PRESS ODOR REFIL.19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600074,AIR WICK ELET.BASE PURE 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300074,AIR WICK F/MATIC RIC.MAG.250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600034,CAND.PROF.RIBBON AIRWICK333691,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
111301005,AIR WICK VANIGLIA REFILL 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
111300915,AIR WICK FRESH MATIC AGR.250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600031,PURE SPRAY MIX2 AIR WICK 250ML,126,DEODORANTI PER AMBIENTE,1261,AZIONE ISTANTANEA,RECKITT BENCKISER,AIR WICK
112600021,AIR WICK F/MATIC RIC.S/C 250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
111301006,AIR WICK MIX2 REFILL 19 ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600001,AIR WICK F/MATIC BASE F/G250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300075,AIR WICK F/MATIC RIC.LAV.ML250,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600019,AIR WICK F/MATIC RIC.F/C 250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300727,AIR WICK ELET.RIC.PARAD.19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300200,AIRWICK RIC.F/M FR/LINO 250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600032,AIR WICK ELET.RICAR.ED-2 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600075,AIR WICK ELET.RIC PURE 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300848,AIR WICK ELET.RIC.LAV/CAM 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
111300853,AIR WICK ELETTRICO COMPLETO,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
111300052,DEO AIR WICK MIX1 375ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300072,AIR WICK ELET.RICAR.TALCO 19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300201,AIRWICK RIC.F/M COLLECT.250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112600017,PURE SPRAY MIX1 AIR WICK 250ML,126,DEODORANTI PER AMBIENTE,1261,AZIONE ISTANTANEA,RECKITT BENCKISER,AIR WICK
112600020,AIR WICK F/MATIC RIC.P/P 250ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112300726,AIR WICK ELET.COMPL.PARAD.19ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,RECKITT BENCKISER,AIR WICK
112200577,AJAX PAV.LIMONE 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,COLGATE PALMOLIVE,AJAX
112200426,AJAX CRYSTAL TRIGGER 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112200305,AJAX SPRAY C/CANDEGGINA 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112200607,AJAX CRYSTAL SQUEEZE 500 ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112200819,AJAX BAGNO OPTIMAL7  SPR.750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112200821,SHOWER POWER 2IN1 AJAX 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112200578,AJAX PAV.CLASSICO 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,COLGATE PALMOLIVE,AJAX
112200910,AJAX DISINFETTANTE 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,COLGATE PALMOLIVE,AJAX
112200820,SGRAS OPTIMAL7 2IN1 AJAX 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,COLGATE PALMOLIVE,AJAX
112201012,AMMONIACA PROF AMACASA 5L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
111314015,AVIO AMACASA 375 ML,120,CURA TESSUTI,1204,ADDITIVI,NEW FADOR,AMACASA
111248785,SANICASA AMACASA 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
111248216,AMMONIACA MARSIGLIA AMACASA 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
112000239,AMMORB.CLASSICO AMACASA 2L,120,CURA TESSUTI,1201,AMMORBIDENTI,NEW FADOR,AMACASA
111310255,ACQUA DEMINER.PROF.AMACASA 2L,120,CURA TESSUTI,1205,PRODOTTI STIRO,NEW FADOR,AMACASA
112000032,CANDEGG.D/NONNA AMACASA 5L,120,CURA TESSUTI,1202,CANDEGGINA,NEW FADOR,AMACASA
111902105,ALCOOL ETILICO AMACASA 1L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
111230106,ACIDO MURIATIC.PROF.AMACASA 1L,122,DETERGENTI X LA CASA,1223,CURA WC,NEW FADOR,AMACASA
111248437,AMMONIACA PROFUMAT.AMACASA 2L,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
112200318,ALCOOL ETIL.PROF.AMACASA 75CL,122,DETERGENTI X LA CASA,1225,PER PAVIMENTI,NEW FADOR,AMACASA
112300874,AMBIPUR ELETTR.RIC.SKY 21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112300875,AMBIPUR ELETT.RIC.JAPAN 21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112300873,AMBIPUR ELETT.RIC.VELL. 21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112300792,AMBIPUR BASE SKY+RIC.21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112300877,"AMBIPUR ELETT.RIC.VANIG.21,5ML",126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112300791,AMBIPUR BASE ELEGA+RIC.21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112600004,AMBIPUR BASE+RIC.VANIG.21.5ML,126,DEODORANTI PER AMBIENTE,1262,AZIONE CONTINUA,PROCTER & GAMBLE,AMBIPUR
112100441,AMUCHINA BUC.ADDIT/IGENIZ 1LX2,120,CURA TESSUTI,1204,ADDITIVI,ACRAF,AMUCHINA
111200569,AMUCHINA DIS/SGRAS SPRAY 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,ACRAF,AMUCHINA
112201196,AMUCHINA SGRASSAT.LIMONE 750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,ACRAF,AMUCHINA
112201197,AMUCHINA IGIENIZ.S/RISCI.750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,ACRAF,AMUCHINA
112100306,AMUCHINA DISINFETTANTE 500G X2,120,CURA TESSUTI,1204,ADDITIVI,ACRAF,AMUCHINA
112100442,AMUCHINA ADD.IGIEN/AMMORB.1L,120,CURA TESSUTI,1204,ADDITIVI,ACRAF,AMUCHINA
111200827,AMUCHINA DIS/SGR+RIC 750+750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,ACRAF,AMUCHINA
111100621,AMUCHINA BUC.ADDIT/DISINF 500G,120,CURA TESSUTI,1204,ADDITIVI,ACRAF,AMUCHINA
112201225,AMUCHINA SGR/LIMONE+RIC.750ML,122,DETERGENTI X LA CASA,1224,PER PICCOLE SUPERFICI,ACRAF,AMUCHINA
