,cntr_no,carrier_no,pol,scheduled_pol_etd,pol_atd,pod,scheduled_pod_eta,pod_ata,portcast_predicted_pod_eta,container_pod_actual_discharge,last_container_event,vessel_legs,container_pod_scheduled_discharge
0,KOCU4806726,HDMU,CNNGB,,,USNYC,,,2021-06-12 18:00:00+00:00,,Vessel arrival,1.0,2021-06-12 18:00:00+00:00
1,KOCU4138843,HDMU,VNVUT,,,USORF,2021-06-13 21:00:00+00:00,,2021-06-14 07:50:07.504794+00:00,,Unclassified,1.0,2021-06-12 20:00:00+00:00
2,HDMU4753869,HDMU,VNVUT,,,USSAV,2021-06-16 19:00:00+00:00,,2021-06-17 20:21:59.522328+00:00,,Unclassified,1.0,2021-06-15 19:00:00+00:00
3,KOCU4823359,HDMU,CNNGB,,,USNYC,,,2021-05-16 19:00:00+00:00,,Vessel arrival,1.0,2021-05-16 19:00:00+00:00
4,MSCU5135983,MSCU,VNSGN,,,USLGB,,,2021-06-04 00:00:00+00:00,,Vessel arrival,2.0,2021-06-04 00:00:00+00:00
5,MSCU5301750,MSCU,VNSGN,,,USLGB,,,2021-06-04 00:00:00+00:00,,Vessel arrival,2.0,2021-06-04 00:00:00+00:00
6,OOLU0888049,OOLU,VNCMT,,,USSAV,,,2021-06-30 17:00:00+00:00,,Vessel arrival,1.0,2021-06-30 17:00:00+00:00
7,BMOU4504233,ZIMU,,,,,,,,,,,
8,FSCU8870897,OOLU,VNCMT,2021-05-27 18:00:00+00:00,,USLGB,2021-06-17 02:00:00+00:00,,2021-06-23 09:01:37.184848+00:00,,Vessel arrival,1.0,2021-06-20 08:00:00+00:00
9,TCLU5125101,HLCU,INMUN,2021-04-30 01:30:00+00:00,2021-04-30 19:00:00+00:00,USNYC,2021-05-20 23:00:00+00:00,2021-05-21 10:10:07+00:00,,2021-05-21 12:46:00+00:00,Unclassified,1.0,
10,TLLU5215409,HLCU,INMUN,2021-05-13 09:30:00+00:00,,USNYC,2021-06-03 00:00:00+00:00,,2021-05-27 15:32:36.524995+00:00,,Vessel arrival,1.0,2021-06-04 19:00:00+00:00
11,CAIU9627251,HLCU,INNSA,2021-05-11 09:30:00+00:00,2021-05-11 13:24:00+00:00,USNYC,2021-06-03 00:00:00+00:00,,2021-05-27 15:32:36.524995+00:00,,Vessel arrival,1.0,2021-06-04 19:00:00+00:00
12,ZCSU7144592,ZIMU,,,,,,,,,,,
